ID,Parent/Guardian,Child,Year,Source,Warm/Cold,Phone/WhatsApp,Email,Primary Concern,Date First Contact,Status,Diagnostic Sent,Diagnostic Completed,Review Date,Offer,Monthly Value,Paid?,Next Action,Next Action Date,Notes
1,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
2,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
3,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
4,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
5,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
6,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
7,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
8,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
9,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
10,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
11,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
12,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
13,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
14,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
15,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
16,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
17,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
18,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
19,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
20,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
21,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
22,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
23,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
24,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
25,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
26,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
27,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
28,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
29,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
30,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
31,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
